Titulo,Preco,Bairro,Cidade,Endereco,Metragem,Quartos,Banheiros,Vagas,Link
"Apartamento para comprar com 61 m², 2 quartos, 2 banheiros, 1 vaga em
Vila Lucy, Goiânia",R$ 490.000,Vila Lucy,Goiânia,Rua E1,61 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vila-lucy-goiania-61m2-id-2843725852/?source=ranking%2Crp
"Lote/Terreno para comprar com 1260 m² em
Setor Bela Vista, Goiânia",R$ 3.500.000,Setor Bela Vista,Goiânia,N/A,1260 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-setor-bela-vista-goiania-1260m2-id-2853099415/?source=ranking%2Crp
"Casa de condomínio para comprar com 219 m², 3 quartos, 5 banheiros, 2 vagas em
Residencial Goiânia Golfe Clube, Goiânia",R$ 1.790.000,Residencial Goiânia Golfe Clube,Goiânia,N/A,219 m²,3,5,2,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-residencial-goiania-golfe-clube-goiania-219m2-id-2863703964/?source=ranking%2Crp
"Casa de condomínio para comprar com 250 m², 4 quartos, 4 banheiros, 2 vagas em
Residencial Goiânia Golfe Clube, Goiânia",R$ 1.750.000,Residencial Goiânia Golfe Clube,Goiânia,N/A,250 m²,4,4,2,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-residencial-goiania-golfe-clube-goiania-250m2-id-2863703787/?source=ranking%2Crp
"Casa de condomínio para comprar com 306 m², 4 quartos, 5 banheiros, 4 vagas em
Jardins Madri, Goiânia",R$ 3.400.000,Jardins Madri,Goiânia,Rua Madri 6,306 m²,4,5,4,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-closet-jardins-madri-goiania-306m2-id-2856033923/?source=ranking%2Crp
"Apartamento para comprar com 60 m², 2 quartos, 1 banheiro, 2 vagas em
Residencial Eldorado, Goiânia",R$ 375.000,Residencial Eldorado,Goiânia,Avenida Nápoli,60 m²,2,1,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-residencial-eldorado-goiania-60m2-id-2854802021/?source=ranking%2Crp
"Apartamento para comprar com 75 m², 3 quartos, 3 banheiros, 2 vagas em
Vila Rosa, Goiânia",R$ 520.000,Vila Rosa,Goiânia,Avenida Marialva,75 m²,3,3,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-vila-rosa-goiania-75m2-id-2754258825/?source=ranking%2Crp
"Lote/Terreno para comprar com 250 m² em
Vila Rosa, Goiânia",R$ 448.000,Vila Rosa,Goiânia,N/A,250 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-vila-rosa-goiania-250m2-id-2853101822/?source=ranking%2Crp
"Apartamento para comprar com 130 m², 3 quartos, 4 banheiros, 2 vagas em
Jardim Goiás, Goiânia",R$ 1.500.000,Jardim Goiás,Goiânia,N/A,130 m²,3,4,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-goias-goiania-130m2-id-2853100833/?source=ranking%2Crp
"Apartamento para comprar com 72 m², 2 quartos, 3 banheiros, 1 vaga em
Setor Bueno, Goiânia",R$ 640.000,Setor Bueno,Goiânia,N/A,72 m²,2,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-bueno-goiania-72m2-id-2816534481/?source=ranking%2Crp
